metric,value,step
epoch_loss,0.02528085932135582,0.0
epoch_loss,0.01948675699532032,1.0
epoch_loss,0.017207778990268707,2.0
epoch_loss,0.01580541767179966,3.0
epoch_loss,0.014746300876140594,4.0
epoch_loss,0.013932098634541035,5.0
epoch_loss,0.013275166973471642,6.0
epoch_loss,0.012725419364869595,7.0
epoch_loss,0.012258154340088367,8.0
epoch_loss,0.011847962625324726,9.0
epoch_loss,0.01148989237844944,10.0
epoch_loss,0.011175923980772495,11.0
epoch_loss,0.010890321806073189,12.0
epoch_loss,0.010635762475430965,13.0
epoch_loss,0.010401584208011627,14.0
epoch_loss,0.010190737433731556,15.0
epoch_loss,0.009996685199439526,16.0
epoch_loss,0.009819873608648777,17.0
epoch_loss,0.009651262313127518,18.0
epoch_loss,0.009502662345767021,19.0
epoch_loss,0.009355871006846428,20.0
epoch_loss,0.009226781316101551,21.0
epoch_loss,0.00910006184130907,22.0
epoch_loss,0.008980121463537216,23.0
epoch_loss,0.008874936029314995,24.0
epoch_loss,0.008766934275627136,25.0
epoch_loss,0.008669423870742321,26.0
epoch_loss,0.008580685593187809,27.0
epoch_loss,0.008489207364618778,28.0
epoch_loss,0.008408925496041775,29.0
epoch_loss,0.008320732042193413,30.0
epoch_loss,0.008249806240200996,31.0
epoch_loss,0.008171464316546917,32.0
epoch_loss,0.008104776032269001,33.0
epoch_loss,0.008040569722652435,34.0
epoch_loss,0.007973833940923214,35.0
epoch_loss,0.007914078421890736,36.0
epoch_loss,0.00785141997039318,37.0
epoch_loss,0.007794991601258516,38.0
epoch_loss,0.007743733935058117,39.0
epoch_loss,0.007689706049859524,40.0
epoch_loss,0.00763664161786437,41.0
epoch_loss,0.007586735766381025,42.0
epoch_loss,0.007540841121226549,43.0
epoch_loss,0.0074906921945512295,44.0
epoch_loss,0.007450639735907316,45.0
epoch_loss,0.007409034762531519,46.0
epoch_loss,0.00736272195354104,47.0
epoch_loss,0.007322935853153467,48.0
epoch_loss,0.007285383529961109,49.0
epoch_loss,0.007242266088724136,50.0
epoch_loss,0.007208515889942646,51.0
epoch_loss,0.007174618076533079,52.0
epoch_loss,0.007138472516089678,53.0
epoch_loss,0.007104179356247187,54.0
epoch_loss,0.007068073842674494,55.0
epoch_loss,0.007036928087472916,56.0
epoch_loss,0.007004571612924337,57.0
epoch_loss,0.006973617244511843,58.0
epoch_loss,0.006945439148694277,59.0
epoch_loss,0.006915545091032982,60.0
epoch_loss,0.006889044307172298,61.0
epoch_loss,0.006860731169581413,62.0
epoch_loss,0.006833091378211975,63.0
epoch_loss,0.006805834826081991,64.0
